28/11/2015 05:48:53 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[['1']], debug=[0]!
28/11/2015 05:48:58 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1 2], debug=[0]!
28/11/2015 05:48:58 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[['1', '2']], debug=[0]!
28/11/2015 05:49:18 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:49:21 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1], debug=[0]!
28/11/2015 05:49:21 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[['1']], debug=[0]!
28/11/2015 05:49:26 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1 2], debug=[0]!
28/11/2015 05:49:26 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[['1', '2']], debug=[0]!
28/11/2015 05:51:59 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:52:01 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:52:01 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[[]], debug=[0]!
28/11/2015 05:53:00 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:53:03 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:53:06 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:53:16 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:53:17 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:53:20 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[help], debug=[0]!
28/11/2015 05:53:22 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:53:25 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1], debug=[0]!
